f440_f470,f532_f470,cluster
NA,NA,cluster_3
1.374541783987682,0.8935876321521553,cluster_3
1.511256712153301,0.9615744617961475,cluster_3
NA,NA,cluster_3
0.9027024455228895,0.7097725758873393,cluster_3
NA,NA,cluster_3
0.6957597617749476,0.6008052677934853,cluster_3
NA,NA,cluster_3
1.0297719226974658,0.8360513028843416,cluster_3
NA,NA,cluster_3
0.8370340072455323,0.8986210120369316,cluster_3
NA,NA,cluster_3
0.908333884079043,0.9007996827704716,cluster_3
NA,NA,cluster_3
0.9798465590289741,0.9040421390129438,cluster_3
NA,NA,cluster_3
1.0213720449619363,0.7436866777559353,cluster_3
0.8135363280072393,0.7344487991156663,cluster_3
NA,NA,cluster_3
0.9443535188216039,0.6766366612111293,cluster_3
NA,NA,cluster_1
1.560594090693638,0.4540211723811039,cluster_1
1.4779144975548117,0.8637008991954562,cluster_1
NA,NA,cluster_1
1.500993418601759,0.7171240531478943,cluster_1
NA,NA,cluster_1
1.7138083143964695,0.7424809517444185,cluster_1
NA,NA,cluster_1
1.1765261765261745,0.7016317016317016,cluster_1
NA,NA,cluster_1
1.4864342126470733,0.7330897759630367,cluster_1
NA,NA,cluster_1
1.4270623435305596,0.8308603529339931,cluster_1
NA,NA,cluster_2
0.8556948059783822,0.2424796152321194,cluster_2
NA,NA,cluster_2
0.8569761093435259,0.25541728636782995,cluster_2
NA,NA,cluster_2
0.8463316687165655,0.20913415230502522,cluster_2
1.0800869491091998,0.4359389651351125,cluster_2
NA,NA,cluster_2
1.1287954621287966,0.49108367626886174,cluster_2
NA,NA,cluster_2
1.0929322385081752,0.5220627733865408,cluster_2
NA,NA,cluster_2
1.019910161466553,0.22864000149419514,cluster_2
1.2690911490990617,0.6928255560689064,cluster_2
NA,NA,cluster_2
1.0611275575889385,0.2392441247281479,cluster_2
1.4046347346657502,0.7265391683896146,cluster_2
NA,NA,cluster_2
1.0117637038632905,0.1847021748823892,cluster_2
1.201435254576015,0.637189444520147,cluster_2
